(Number of Powers   32768 )
(Number of Trafos   752.000 )
(Flux    517.90893600 )
(Average Poisson level      0.00400195 )
(Renormalization const  0.20076209E-02 )
(Background rate   10.000000     )
(Count rate per PCU   220.91411     )
(Count rate * VLE rate per PCU   18698.281     )
      20.125000 0.20544002E-03 0.15342403E-03
      20.187500 0.11715945E-03 0.15020477E-03
      20.250000 0.13884822E-03 0.15099568E-03
      20.312500 0.33124539E-04 0.14714034E-03
      20.375000 -0.36739098E-05 0.14579843E-03
      20.437500 -0.21309323E-03 0.13816170E-03
      20.500000 0.66585337E-04 0.14836053E-03
      20.562500 0.29150059E-03 0.15656235E-03
      20.625000 0.22578115E-05 0.14601476E-03
      20.687500 0.21433103E-03 0.15374825E-03
      20.750000 -0.10800710E-03 0.14199381E-03
      20.812500 0.39915205E-04 0.14738797E-03
      20.875000 -0.63786167E-04 0.14360638E-03
      20.937500 0.12008115E-03 0.15031132E-03
      21.000000 0.28820697E-03 0.15644223E-03
      21.062500 0.15286059E-04 0.14648984E-03
      21.125000 0.66388129E-04 0.14835334E-03
      21.187500 0.22763139E-03 0.15423328E-03
      21.250000 0.34628640E-03 0.15856019E-03
      21.312500 -0.23328094E-03 0.13742554E-03
      21.375000 -0.92516420E-04 0.14255868E-03
      21.437500 -0.94927404E-04 0.14247077E-03
      21.500000 -0.80187012E-04 0.14300829E-03
      21.562500 0.48772221E-04 0.14771096E-03
      21.625000 0.25854262E-04 0.14687523E-03
      21.687500 0.10990545E-03 0.14994026E-03
      21.750000 0.20880401E-03 0.15354672E-03
      21.812500 0.67830792E-04 0.14840595E-03
      21.875000 0.16439687E-03 0.15192735E-03
      21.937500 -0.86933636E-04 0.14276226E-03
      22.000000 -0.41114476E-04 0.14443311E-03
      22.062500 0.14136212E-03 0.15108736E-03
      22.125000 0.28599345E-04 0.14697530E-03
      22.187500 0.31139058E-03 0.15728766E-03
      22.250000 0.52407840E-05 0.14612352E-03
      22.312500 0.23021181E-03 0.15432738E-03
      22.375000 0.16423460E-03 0.15192143E-03
      22.437500 0.67985638E-05 0.14618032E-03
      22.500000 -0.14476416E-03 0.14065341E-03
      22.562500 -0.60676350E-04 0.14371978E-03
      22.625000 0.66987406E-04 0.14837520E-03
      22.687500 -0.15122526E-03 0.14041779E-03
      22.750000 -0.58382400E-04 0.14380342E-03
      22.812500 -0.10002100E-03 0.14228502E-03
      22.875000 0.25307375E-03 0.15516106E-03
      22.937500 0.10999639E-03 0.14994356E-03
      23.000000 0.36633865E-03 0.15929140E-03
      23.062500 0.24835710E-03 0.15498906E-03
      23.125000 -0.33052504E-04 0.14472712E-03
      23.187500 0.16000618E-03 0.15176724E-03
      23.250000 0.52489930E-04 0.14784651E-03
      23.312500 0.50147466E-03 0.16421932E-03
      23.375000 0.86092885E-04 0.14907190E-03
      23.437500 -0.38913142E-04 0.14451340E-03
      23.500000 0.17105734E-03 0.15217024E-03
      23.562500 0.43872552E-03 0.16193109E-03
      23.625000 0.26683556E-03 0.15566291E-03
      23.687500 0.59333966E-05 0.14614878E-03
      23.750000 -0.38906921E-04 0.14451361E-03
      23.812500 0.24107918E-03 0.15472368E-03
      23.875000 0.38417283E-03 0.15994174E-03
      23.937500 -0.14317957E-03 0.14071118E-03
      24.000000 0.30603973E-03 0.15709255E-03
      24.062500 0.53053784E-04 0.14786709E-03
      24.125000 0.35269413E-03 0.15879383E-03
      24.187500 0.93930845E-04 0.14935771E-03
      24.250000 0.18996993E-03 0.15285991E-03
      24.312500 -0.56305042E-04 0.14387918E-03
      24.375000 -0.81775661E-05 0.14563421E-03
      24.437500 -0.92476694E-04 0.14256012E-03
      24.500000 0.21195690E-03 0.15366169E-03
      24.562500 0.26506549E-03 0.15559835E-03
      24.625000 -0.11106714E-03 0.14188221E-03
      24.687500 0.88698194E-04 0.14916690E-03
      24.750000 -0.17383831E-03 0.13959318E-03
      24.812500 0.13986872E-03 0.15103290E-03
      24.875000 0.29647478E-03 0.15674373E-03
      24.937500 -0.10675136E-03 0.14203959E-03
      25.000000 0.21758060E-03 0.15386674E-03
      25.062500 -0.13902509E-05 0.14588171E-03
      25.125000 0.35176746E-03 0.15876006E-03
      25.187500 0.27520483E-03 0.15596810E-03
      25.250000 0.21364703E-03 0.15372333E-03
      25.312500 0.68225680E-04 0.14842035E-03
      25.375000 -0.85337328E-04 0.14282047E-03
      25.437500 0.19352919E-03 0.15298970E-03
      25.500000 -0.10190785E-04 0.14556080E-03
      25.562500 0.12675743E-03 0.15055478E-03
      25.625000 0.15076288E-03 0.15143017E-03
      25.687500 0.56481184E-07 0.14593448E-03
      25.750000 -0.12014649E-03 0.14155111E-03
      25.812500 0.10403571E-03 0.14972621E-03
      25.875000 0.23973224E-03 0.15467455E-03
      25.937500 0.46710178E-04 0.14763576E-03
      26.000000 -0.14427521E-03 0.14067124E-03
      26.062500 0.13029612E-03 0.15068382E-03
      26.125000 0.21532901E-03 0.15378465E-03
      26.187500 -0.63842410E-04 0.14360431E-03
      26.250000 0.19474306E-03 0.15303395E-03
      26.312500 0.10435881E-03 0.14973800E-03
      26.375000 0.18926774E-03 0.15283428E-03
      26.437500 0.19825973E-03 0.15316221E-03
      26.500000 0.10942583E-03 0.14992277E-03
      26.562500 -0.17198185E-03 0.13966087E-03
      26.625000 0.30815872E-03 0.15716981E-03
      26.687500 0.15908094E-03 0.15173349E-03
      26.750000 0.10016077E-04 0.14629765E-03
      26.812500 0.24420046E-03 0.15483747E-03
      26.875000 0.11543246E-03 0.15014180E-03
      26.937500 0.49846800E-04 0.14775014E-03
      27.000000 0.10082394E-03 0.14960908E-03
      27.062500 -0.14298547E-03 0.14071827E-03
      27.125000 0.62935600E-04 0.14822744E-03
      27.187500 0.14640330E-03 0.15127119E-03
      27.250000 -0.34522687E-04 0.14467351E-03
      27.312500 -0.40130599E-04 0.14446900E-03
      27.375000 -0.39252511E-04 0.14450101E-03
      27.437500 0.39971688E-04 0.14739003E-03
      27.500000 -0.17391898E-05 0.14586899E-03
      27.562500 0.10958905E-03 0.14992872E-03
      27.625000 0.23949100E-03 0.15466574E-03
      27.687500 0.14258412E-03 0.15113193E-03
      27.750000 0.43761215E-03 0.16189048E-03
      27.812500 -0.26780003E-03 0.13616674E-03
      27.875000 0.26471369E-03 0.15558553E-03
      27.937500 0.32700476E-03 0.15785705E-03
      28.000000 0.22374088E-03 0.15409139E-03
      28.062500 0.18013909E-04 0.14658931E-03
      28.125000 0.12106144E-03 0.15034707E-03
      28.187500 -0.12462238E-04 0.14547796E-03
      28.250000 0.14092415E-03 0.15107138E-03
      28.312500 0.31176346E-03 0.15730126E-03
      28.375000 0.17734111E-03 0.15239937E-03
      28.437500 0.20124773E-04 0.14666628E-03
      28.500000 0.28675667E-03 0.15638935E-03
      28.562500 -0.68256792E-04 0.14344335E-03
      28.625000 0.99991565E-04 0.14957873E-03
      28.687500 0.54240845E-04 0.14791038E-03
      28.750000 -0.26656248E-05 0.14583521E-03
      28.812500 -0.52452833E-04 0.14401965E-03
      28.875000 0.16721757E-03 0.15203020E-03
      28.937500 0.15428051E-03 0.15155843E-03
      29.000000 0.10529936E-03 0.14977230E-03
      29.062500 0.18746416E-03 0.15276852E-03
      29.125000 0.20275381E-03 0.15332609E-03
      29.187500 0.26562359E-03 0.15561871E-03
      29.250000 0.21129588E-03 0.15363758E-03
      29.312500 0.27222806E-03 0.15585957E-03
      29.375000 0.82853352E-04 0.14895377E-03
      29.437500 -0.91525610E-04 0.14259481E-03
      29.500000 0.36073456E-03 0.15908705E-03
      29.562500 0.91884118E-04 0.14928308E-03
      29.625000 0.83919796E-04 0.14899264E-03
      29.687500 0.26379346E-04 0.14689435E-03
      29.750000 0.11145700E-04 0.14633885E-03
      29.812500 0.19562905E-03 0.15306627E-03
      29.875000 -0.32244057E-04 0.14475660E-03
      29.937500 -0.26107303E-03 0.13641205E-03
      30.000000 0.20694970E-03 0.15347908E-03
      30.062500 -0.28384429E-04 0.14489733E-03
      30.125000 0.41491247E-03 0.16106271E-03
      30.187500 0.95751166E-04 0.14942410E-03
      30.250000 0.73722069E-04 0.14862079E-03
      30.312500 0.21649215E-03 0.15382707E-03
      30.375000 -0.11239516E-04 0.14552254E-03
      30.437500 -0.22833285E-03 0.13760597E-03
      30.500000 -0.39635910E-04 0.14448704E-03
      30.562500 0.31975794E-03 0.15759279E-03
      30.625000 0.59566828E-04 0.14810459E-03
      30.687500 0.16449188E-04 0.14653226E-03
      30.750000 0.18646570E-03 0.15273213E-03
      30.812500 0.16558201E-03 0.15197057E-03
      30.875000 -0.78306140E-04 0.14307688E-03
      30.937500 0.19889874E-03 0.15318552E-03
      31.000000 0.18784805E-03 0.15278254E-03
      31.062500 0.11879118E-03 0.15026428E-03
      31.125000 0.16027661E-03 0.15177710E-03
      31.187500 0.14592274E-03 0.15125365E-03
      31.250000 -0.15138059E-03 0.14041213E-03
      31.312500 -0.13682662E-03 0.14094287E-03
      31.375000 -0.38746573E-04 0.14451946E-03
      31.437500 0.24489980E-03 0.15486300E-03
      31.500000 0.20347754E-03 0.15335246E-03
      31.562500 -0.26686164E-04 0.14495927E-03
      31.625000 -0.76369261E-05 0.14565392E-03
      31.687500 -0.65905166E-04 0.14352911E-03
      31.750000 0.57953766E-04 0.14804577E-03
      31.812500 0.10819521E-03 0.14987790E-03
      31.875000 0.16608364E-03 0.15198885E-03
      31.937500 0.40387709E-03 0.16066030E-03
      32.000000 0.11737341E-03 0.15021258E-03
      32.062500 0.19653466E-03 0.15309929E-03
      32.125000 0.12899704E-03 0.15063645E-03
      32.187500 0.31265040E-03 0.15733360E-03
      32.250000 0.24934171E-03 0.15502497E-03
      32.312500 0.10117001E-03 0.14962170E-03
      32.375000 0.27255883E-03 0.15587160E-03
      32.437500 0.30908850E-04 0.14705955E-03
      32.500000 0.20692672E-03 0.15347825E-03
      32.562500 -0.93828894E-04 0.14251082E-03
      32.625000 0.63810097E-04 0.14825932E-03
      32.687500 -0.85213833E-04 0.14282498E-03
      32.750000 0.23858156E-03 0.15463258E-03
      32.812500 -0.49420560E-04 0.14413023E-03
      32.875000 0.32903401E-04 0.14713226E-03
      32.937500 0.43280024E-03 0.16171501E-03
      33.000000 0.19593204E-03 0.15307732E-03
      33.062500 -0.17686916E-03 0.13948267E-03
      33.125000 0.10805832E-03 0.14987290E-03
      33.187500 -0.77961748E-04 0.14308945E-03
      33.250000 0.12357054E-03 0.15043857E-03
      33.312500 0.19725742E-03 0.15312566E-03
      33.375000 0.45617413E-04 0.14759590E-03
      33.437500 0.60267339E-05 0.14615219E-03
      33.500000 0.15982859E-03 0.15176076E-03
      33.562500 0.28187224E-04 0.14696029E-03
      33.625000 0.66365152E-04 0.14835250E-03
      33.687500 -0.50928797E-05 0.14574669E-03
      33.750000 0.16602046E-03 0.15198656E-03
      33.812500 0.40663462E-03 0.16076084E-03
      33.875000 -0.19545099E-03 0.13880504E-03
      33.937500 0.17450556E-03 0.15229598E-03
      34.000000 0.12230067E-03 0.15039225E-03
      34.062500 0.28171786E-03 0.15620561E-03
      34.125000 -0.39256818E-04 0.14450087E-03
      34.187500 0.35985933E-04 0.14724467E-03
      34.250000 0.34011892E-03 0.15833529E-03
